artist,id,genres,scrape_date
Vini Vici,29zsVzEH33dD5QqxeL8dvy,psytrance; trance,2025-06-08 00:32:05
Bassjackers,6xQvQwZQQuq9R3TdPNbcR8,big room; edm,2025-06-08 00:32:05
Hardwell,6BrvowZBreEkXzJQMpL174,big room; edm; progressive house; electronica,2025-06-08 00:32:05
R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,slap house; edm,2025-06-08 00:32:05
David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,edm; dance,2025-06-08 00:32:05
Thomas Gold,1XLjkBxFokuDTlHt0mQkRe,big room; progressive house,2025-06-08 00:32:05
POINT BLVNK,2X1Ahr4NhjCRAzIYy2NuVp,tropical house; melbourne bounce,2025-06-08 00:32:05
W&W,2rTo8KIkBTFjQS7VvaKYQ4,big room; edm,2025-06-08 00:32:05
DJ Sammy,4z4m1P0iX2nRSPDBEZ8LBT,eurodance,2025-06-08 00:32:05
VIZE,09agIJMxCD2k87ys9Al0f0,slap house,2025-06-08 00:32:05
KRIS DAM,1ZYDhdvvVfGZrS8iKHlZIk,,2025-06-08 00:32:05
Aftershock,6KlY7jizsLWQcXR1F2Sn9j,hardstyle; frenchcore; hardcore,2025-06-08 00:32:05
Mondello'G,77lzQa2JgjlkP4uA5ptyo7,hypertechno; techno,2025-06-08 00:32:05
Artix,3D0EZozLIGp14YnaWCBTYh,happy hardcore; hardstyle,2025-06-08 00:32:05
Axwell,1xNmvlEiICkRlRGqlNFZ43,edm,2025-06-08 00:32:05
Stylar,7hnIK6LZc8UMGSAVXRsELx,hardstyle,2025-06-08 00:32:05
Bassfreq,0gVJvUQKE5NY2ewLTi4nvC,hardstyle,2025-06-08 00:32:05
Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,trance; progressive trance; progressive house; electronica; edm,2025-06-08 00:32:05
Avicii,1vCWHaC5f2uS3yhpwWbIA6,edm,2025-06-08 00:32:05
Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,edm; electronica; progressive house,2025-06-08 00:32:05
KAZERR,559IFMIT4sZ4gh7MZvkrhk,trance,2025-06-08 00:32:05
TOM BVRN,2aAqGSshINT2rGIBIfzwBq,,2025-06-08 00:32:05
ASTOR,3My8e3DuKpRo0uhuIX5lpR,progressive house,2025-06-08 00:32:05
Avorra,2AKj4BH3WLEG16rMhb19aA,,2025-06-08 00:32:05
Dovble V,5pjzgSfbCfOrs50NIGKwQL,big room,2025-06-08 00:32:05
Caro van Ee,2MXVI1HEhieqtpcvEHVY4M,hypertechno,2025-06-08 00:32:05
Andrew Rayel,1UtBjqMZBAmqIPlDrKu7Tr,trance; progressive trance,2025-06-08 00:32:05
ALPHI,6TUS92w9xO24LS2EzuRR2M,,2025-06-08 00:32:05
Treals,58EFkgAfyVHVIZG2fE6vgL,,2025-06-08 00:32:05
Lawstylez,6VBSwCRUCT6b3igxW6VfJZ,hypertechno; hardstyle,2025-06-08 00:32:05
Naeleck,2DYDFBqoaBP2i9XrTGpOgF,electro house; hypertechno,2025-06-08 00:32:05
BEAUZ,2Wzb0u138rgoZQTK3ytknT,hard techno,2025-06-08 00:32:05
DJ MNS,6R08JmK5MwZfOUw1OOJ5bf,,2025-06-08 00:32:05
Maddix,0RMeG9M8QFzss9bAbq99KA,big room; techno; hard techno; acid techno; hypertechno,2025-06-08 00:32:05
Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,,2025-06-08 00:32:05
DubVision,3XINWZaloea97SIRiyTJxX,progressive house; big room; edm,2025-06-08 00:32:05
The Temper Trap,4W48hZAnAHVOC2c8WH8pcq,,2025-06-08 00:32:05
Franco Capraro,0yNmLs8LgvMp7YVIYawkwK,hypertechno,2025-06-08 00:32:05
MORTEN,19HFRWmRCl27kTk6LeqAO8,,2025-06-08 00:32:05
Don Diablo,1l2ekx5skC4gJH8djERwh1,future house; edm,2025-06-08 00:32:05
Sebastian Ingrosso,6hyMWrxGBsOx6sWcVj1DqP,edm,2025-06-08 00:32:05
Federico Pedone,6KvqGsG8mdlTUZEipjULVR,hypertechno; big room,2025-06-08 00:32:05
culineR,2qjffj1WyswrFJDcxLM9ch,,2025-06-08 00:32:05
Gabry Ponte,5ENS85nZShljwNgg4wFD7D,slap house; italo dance,2025-06-08 00:32:05
LNY TNZ,1x0ScxgiyFRQDKT4VwcLHa,hardstyle,2025-06-08 00:32:05
Razzix,1ok4cvqm5Bp9wYHUCqHDuQ,happy hardcore; hardstyle,2025-06-08 00:32:05
Resensed,630YbN3MWwgBS7ZS2KIwHv,hardstyle,2025-06-08 00:32:05
MaRLo,2kd1zg9ZyGG6WjZO2dAsFd,trance; progressive trance,2025-06-08 00:32:05
Billy Gillies,0kmovylAP20DMJhS3BE2CO,trance,2025-06-08 00:32:05
Trance Wax,28Rn5KfDspTUHLpPfPF8EE,trance; progressive trance,2025-06-08 00:32:05
Infected Mushroom,6S2tas4z6DyIklBajDqJxI,psytrance; trance,2025-06-08 00:32:05
Giorgia Angiuli,4iHnLagnnmgiIwMSm1wuTq,melodic techno; melodic house; techno; minimal techno,2025-06-08 00:32:05
TERRA,6EMXsJEdrX9vLI7DWSjG5l,psytrance; trance; progressive trance,2025-06-08 00:32:05
nilsix,00S0dnexJEwjUFTEMTUC9I,trance; progressive trance,2025-06-08 00:32:05
Greg Downey,5g5gfQk7ayB806jZ9FFCjL,trance; progressive trance,2025-06-08 00:32:05
Héctor Oaks,2FZAQdFEANNv5Gi29PI10x,techno; acid techno; hard techno,2025-06-08 00:32:05
Talla 2XLC,4cc7cII4mEQqKtczWKQVjJ,trance; progressive trance,2025-06-08 00:32:05
Ruben de Ronde,3q7BRw9D1DupXTONJdr94m,trance; progressive trance; progressive house,2025-06-08 00:32:05
Above & Beyond,10gzBoINW3cLJfZUka8Zoe,trance; progressive trance; progressive house,2025-06-08 00:32:05
Blastoyz,6WLP1sraOcF3Gaxp7xBa4p,psytrance; trance; progressive trance,2025-06-08 00:32:05
Allen Watts,04FzGJxkYQ7zIRoCLQzLqR,trance; progressive trance,2025-06-08 00:32:05
John O'Callaghan,6H2JQ8igAAa5UBr2u496mb,trance; progressive trance,2025-06-08 00:32:05
